,sdev,lookback,filter
1010,7,62,2
1011,7,64,0
1012,7,64,1
1013,7,64,2
1014,7,66,0
1015,7,66,1
1016,7,66,2
1017,7,68,0
1018,7,68,1
1019,7,68,2
1020,7,70,0
1021,7,70,1
1022,7,70,2
1023,7,72,0
1024,7,72,1
1025,7,72,2
1026,7,74,0
1027,7,74,1
1028,7,74,2
1029,7,76,0
1030,7,76,1
1031,7,76,2
1032,7,78,0
1033,7,78,1
1034,7,78,2
1035,7,80,0
1036,7,80,1
1037,7,80,2
1038,7,82,0
1039,7,82,1
1040,7,82,2
1041,7,84,0
1042,7,84,1
1043,7,84,2
1044,7,86,0
1045,7,86,1
1046,7,86,2
1047,7,88,0
1048,7,88,1
1049,7,88,2
1050,7,90,0
1051,7,90,1
1052,7,90,2
1053,7,92,0
1054,7,92,1
1055,7,92,2
1056,7,94,0
1057,7,94,1
1058,7,94,2
1059,7,96,0
1060,7,96,1
1061,7,96,2
1062,7,98,0
1063,7,98,1
1064,7,98,2
1065,7,100,0
1066,7,100,1
1067,7,100,2
1068,7,102,0
1069,7,102,1
1070,7,102,2
1071,7,104,0
1072,7,104,1
1073,7,104,2
1074,7,106,0
1075,7,106,1
1076,7,106,2
1077,7,108,0
1078,7,108,1
1079,7,108,2
1080,7,110,0
1081,7,110,1
1082,7,110,2
1083,7,112,0
1084,7,112,1
1085,7,112,2
1086,7,114,0
1087,7,114,1
1088,7,114,2
1089,7,116,0
1090,7,116,1
1091,7,116,2
1092,7,118,0
1093,7,118,1
1094,7,118,2
1095,7,120,0
1096,7,120,1
1097,7,120,2
1098,7,122,0
1099,7,122,1
1100,7,122,2
1101,7,124,0
1102,7,124,1
1103,7,124,2
1104,7,126,0
1105,7,126,1
1106,7,126,2
1107,7,128,0
1108,7,128,1
1109,7,128,2
1110,7,130,0
1111,7,130,1
1112,7,130,2
1113,7,132,0
1114,7,132,1
1115,7,132,2
1116,7,134,0
1117,7,134,1
1118,7,134,2
1119,7,136,0
1120,7,136,1
1121,7,136,2
1122,7,138,0
1123,7,138,1
1124,7,138,2
1125,7,140,0
1126,7,140,1
1127,7,140,2
1128,7,142,0
1129,7,142,1
1130,7,142,2
1131,7,144,0
1132,7,144,1
1133,7,144,2
1134,7,146,0
1135,7,146,1
1136,7,146,2
1137,7,148,0
1138,7,148,1
1139,7,148,2
1140,7,150,0
1141,7,150,1
1142,7,150,2
1143,7,152,0
1144,7,152,1
1145,7,152,2
1146,7,154,0
1147,7,154,1
1148,7,154,2
1149,7,156,0
1150,7,156,1
1151,7,156,2
1152,7,158,0
1153,7,158,1
1154,7,158,2
1155,7,160,0
1156,7,160,1
1157,7,160,2
1158,7,162,0
1159,7,162,1
1160,7,162,2
1161,7,164,0
1162,7,164,1
1163,7,164,2
1164,7,166,0
1165,7,166,1
1166,7,166,2
1167,7,168,0
1168,7,168,1
1169,7,168,2
1170,7,170,0
1171,7,170,1
1172,7,170,2
1173,7,172,0
1174,7,172,1
1175,7,172,2
1176,7,174,0
1177,7,174,1
1178,7,174,2
1179,7,176,0
1180,7,176,1
1181,7,176,2
1182,7,178,0
1183,7,178,1
1184,7,178,2
1185,7,180,0
1186,7,180,1
1187,7,180,2
1188,7,182,0
1189,7,182,1
1190,7,182,2
1191,7,184,0
1192,7,184,1
1193,7,184,2
1194,7,186,0
1195,7,186,1
1196,7,186,2
1197,7,188,0
1198,7,188,1
1199,7,188,2
1200,8,30,0
1201,8,30,1
1202,8,30,2
1203,8,32,0
1204,8,32,1
1205,8,32,2
1206,8,34,0
1207,8,34,1
